Orthogroup	drosophila_melanogaster_filt	drosophila_persimilis_filt	drosophila_pseudoobscura_filt	drosophila_sechellia_filt	drosophila_simulans_filt	drosophila_subobscura_filt
OG0001371	lcl|NC_004354.4_cds_NP_001284725.1_4	lcl|NW_020825326.1_cds_XP_026846689.1_14726	lcl|NC_046683.1_cds_XP_033240545.1_20617	lcl|NC_045954.1_cds_XP_032582230.1_19738	lcl|NC_052525.2_cds_XP_039153833.1_21636	lcl|NC_048530.1_cds_XP_034671512.1_590
OG0001372	lcl|NC_004354.4_cds_NP_001162627.1_11	lcl|NW_020825326.1_cds_XP_026846679.1_14732	lcl|NC_046683.1_cds_XP_002133398.1_20612	lcl|NC_045954.1_cds_XP_032582235.1_19745	lcl|NC_052525.2_cds_XP_039153838.1_21645	lcl|NC_048530.1_cds_XP_034670579.1_596
OG0001373	lcl|NC_004354.4_cds_NP_001368965.1_12	lcl|NW_020825326.1_cds_XP_002025209.2_14734	lcl|NC_046683.1_cds_XP_015040905.2_20610	lcl|NC_045954.1_cds_XP_032582236.1_19746	lcl|NC_052525.2_cds_XP_016037482.1_21647	lcl|NC_048530.1_cds_XP_034662267.1_598
OG0001374	lcl|NC_004354.4_cds_NP_569833.1_20	lcl|NW_020825326.1_cds_XP_002025210.1_14735	lcl|NC_046683.1_cds_XP_001355264.2_20609	lcl|NC_045954.1_cds_XP_032580240.1_19752	lcl|NC_052525.2_cds_XP_016037492.1_21653	lcl|NC_048530.1_cds_XP_034662278.1_599
OG0001375	lcl|NC_004354.4_cds_NP_001259088.1_21	lcl|NW_020825326.1_cds_XP_026846620.1_14736	lcl|NC_046683.1_cds_XP_033237631.1_20604	lcl|NC_045954.1_cds_XP_032580233.1_19753	lcl|NC_052525.2_cds_XP_016037494.2_21654	lcl|NC_048530.1_cds_XP_034662605.1_600
OG0001376	lcl|NC_004354.4_cds_NP_477030.1_25	lcl|NW_020825326.1_cds_XP_002025213.1_14738	lcl|NC_046683.1_cds_XP_001355263.2_20602	lcl|NC_045954.1_cds_XP_002040211.1_19756	lcl|NC_052525.2_cds_XP_016037498.1_21656	lcl|NC_048530.1_cds_XP_034672193.1_3447
OG0001377	lcl|NC_004354.4_cds_NP_569835.1_27	lcl|NW_020825326.1_cds_XP_026846616.1_14739	lcl|NC_046683.1_cds_XP_001355262.1_20599	lcl|NC_045954.1_cds_XP_032580244.1_19757	lcl|NC_052525.2_cds_XP_016037499.1_21658	lcl|NC_048530.1_cds_XP_034672194.1_3449
OG0001378	lcl|NC_004354.4_cds_NP_001259091.1_30	lcl|NW_020825322.1_cds_XP_026846247.1_13954	lcl|NC_046683.1_cds_XP_002134080.3_19257	lcl|NC_045954.1_cds_XP_002040213.2_19760	lcl|NC_052525.2_cds_XP_016037503.1_21661	lcl|NC_048530.1_cds_XP_034671260.1_213
OG0001379	lcl|NC_004354.4_cds_NP_001245444.1_41	lcl|NW_020825322.1_cds_XP_026846157.1_13952	lcl|NC_046683.1_cds_XP_033238341.1_19255	lcl|NC_045954.1_cds_XP_032580234.1_19766	lcl|NC_052525.2_cds_XP_016037506.1_21664	lcl|NC_048530.1_cds_XP_034671255.1_210
OG0001380	lcl|NC_004354.4_cds_NP_569837.2_45	lcl|NW_020825322.1_cds_XP_002023461.2_13950	lcl|NC_046683.1_cds_XP_001354779.2_19252	lcl|NC_045954.1_cds_XP_032580246.1_19767	lcl|NC_052525.2_cds_XP_016037512.1_21666	lcl|NC_048530.1_cds_XP_034671259.1_208
